celex_id,language,format
32024D2662,BG,HTML
32024D2662,ES,HTML
32024D2662,CS,HTML
32024D2662,DA,HTML
32024D2662,DE,HTML
32024D2662,ET,HTML
32024D2662,EL,HTML
32024D2662,EN,HTML
32024D2662,FR,HTML
32024D2662,GA,HTML
32024D2662,HR,HTML
32024D2662,IT,HTML
32024D2662,LV,HTML
32024D2662,LT,HTML
32024D2662,HU,HTML
32024D2662,MT,HTML
32024D2662,NL,HTML
32024D2662,PL,HTML
32024D2662,PT,HTML
32024D2662,RO,HTML
32024D2662,SK,HTML
32024D2662,SL,HTML
32024D2662,FI,HTML
32024D2662,SV,HTML
32024D2488,BG,HTML
32024D2488,ES,HTML
32024D2488,CS,HTML
32024D2488,DA,HTML
32024D2488,DE,HTML
32024D2488,ET,HTML
32024D2488,EL,HTML
32024D2488,EN,HTML
32024D2488,FR,HTML
32024D2488,GA,HTML
32024D2488,HR,HTML
32024D2488,IT,HTML
32024D2488,LV,HTML
32024D2488,LT,HTML
32024D2488,HU,HTML
32024D2488,MT,HTML
32024D2488,NL,HTML
32024D2488,PL,HTML
32024D2488,PT,HTML
32024D2488,RO,HTML
32024D2488,SK,HTML
32024D2488,SL,HTML
32024D2488,FI,HTML
32024D2488,SV,HTML
32024D2489,BG,HTML
32024D2489,ES,HTML
32024D2489,CS,HTML
32024D2489,DA,HTML
32024D2489,DE,HTML
32024D2489,ET,HTML
32024D2489,EL,HTML
32024D2489,EN,HTML
32024D2489,FR,HTML
32024D2489,GA,HTML
32024D2489,HR,HTML
32024D2489,IT,HTML
32024D2489,LV,HTML
32024D2489,LT,HTML
32024D2489,HU,HTML
32024D2489,MT,HTML
32024D2489,NL,HTML
32024D2489,PL,HTML
32024D2489,PT,HTML
32024D2489,RO,HTML
32024D2489,SK,HTML
32024D2489,SL,HTML
32024D2489,FI,HTML
32024D2489,SV,HTML
32024D2126,BG,HTML
32024D2126,ES,HTML
32024D2126,CS,HTML
32024D2126,DA,HTML
32024D2126,DE,HTML
32024D2126,ET,HTML
32024D2126,EL,HTML
32024D2126,EN,HTML
32024D2126,FR,HTML
32024D2126,GA,HTML
32024D2126,HR,HTML
32024D2126,IT,HTML
32024D2126,LV,HTML
32024D2126,LT,HTML
32024D2126,HU,HTML
32024D2126,MT,HTML
32024D2126,NL,HTML
32024D2126,PL,HTML
32024D2126,PT,HTML
32024D2126,RO,HTML
32024D2126,SK,HTML
32024D2126,SL,HTML
32024D2126,FI,HTML
32024D2126,SV,HTML
32024D2127,BG,HTML
32024D2127,ES,HTML
32024D2127,CS,HTML
32024D2127,DA,HTML
32024D2127,DE,HTML
32024D2127,ET,HTML
32024D2127,EL,HTML
32024D2127,EN,HTML
32024D2127,FR,HTML
32024D2127,GA,HTML
32024D2127,HR,HTML
32024D2127,IT,HTML
32024D2127,LV,HTML
32024D2127,LT,HTML
32024D2127,HU,HTML
32024D2127,MT,HTML
32024D2127,NL,HTML
32024D2127,PL,HTML
32024D2127,PT,HTML
32024D2127,RO,HTML
32024D2127,SK,HTML
32024D2127,SL,HTML
32024D2127,FI,HTML
32024D2127,SV,HTML
32024D1824,BG,HTML
32024D1824,ES,HTML
32024D1824,CS,HTML
32024D1824,DA,HTML
32024D1824,DE,HTML
32024D1824,ET,HTML
32024D1824,EL,HTML
32024D1824,EN,HTML
32024D1824,FR,HTML
32024D1824,GA,HTML
32024D1824,HR,HTML
32024D1824,IT,HTML
32024D1824,LV,HTML
32024D1824,LT,HTML
32024D1824,HU,HTML
32024D1824,MT,HTML
32024D1824,NL,HTML
32024D1824,PL,HTML
32024D1824,PT,HTML
32024D1824,RO,HTML
32024D1824,SK,HTML
32024D1824,SL,HTML
32024D1824,FI,HTML
32024D1824,SV,HTML
32024D1823,BG,HTML
32024D1823,ES,HTML
32024D1823,CS,HTML
32024D1823,DA,HTML
32024D1823,DE,HTML
32024D1823,ET,HTML
32024D1823,EL,HTML
32024D1823,EN,HTML
32024D1823,FR,HTML
32024D1823,GA,HTML
32024D1823,HR,HTML
32024D1823,IT,HTML
32024D1823,LV,HTML
32024D1823,LT,HTML
32024D1823,HU,HTML
32024D1823,MT,HTML
32024D1823,NL,HTML
32024D1823,PL,HTML
32024D1823,PT,HTML
32024D1823,RO,HTML
32024D1823,SK,HTML
32024D1823,SL,HTML
32024D1823,FI,HTML
32024D1823,SV,HTML
32024D1316,BG,HTML
32024D1316,ES,HTML
32024D1316,CS,HTML
32024D1316,DA,HTML
32024D1316,DE,HTML
32024D1316,ET,HTML
32024D1316,EL,HTML
32024D1316,EN,HTML
32024D1316,FR,HTML
32024D1316,GA,HTML
32024D1316,HR,HTML
32024D1316,IT,HTML
32024D1316,LV,HTML
32024D1316,LT,HTML
32024D1316,HU,HTML
32024D1316,MT,HTML
32024D1316,NL,HTML
32024D1316,PL,HTML
32024D1316,PT,HTML
32024D1316,RO,HTML
32024D1316,SK,HTML
32024D1316,SL,HTML
32024D1316,FI,HTML
32024D1316,SV,HTML
32024D1158,BG,HTML
32024D1158,ES,HTML
32024D1158,CS,HTML
32024D1158,DA,HTML
32024D1158,DE,HTML
32024D1158,ET,HTML
32024D1158,EL,HTML
32024D1158,EN,HTML
32024D1158,FR,HTML
32024D1158,GA,HTML
32024D1158,HR,HTML
32024D1158,IT,HTML
32024D1158,LV,HTML
32024D1158,LT,HTML
32024D1158,HU,HTML
32024D1158,MT,HTML
32024D1158,NL,HTML
32024D1158,PL,HTML
32024D1158,PT,HTML
32024D1158,RO,HTML
32024D1158,SK,HTML
32024D1158,SL,HTML
32024D1158,FI,HTML
32024D1158,SV,HTML
32024D0588,BG,HTML
32024D0588,ES,HTML
32024D0588,CS,HTML
32024D0588,DA,HTML
32024D0588,DE,HTML
32024D0588,ET,HTML
32024D0588,EL,HTML
32024D0588,EN,HTML
32024D0588,FR,HTML
32024D0588,GA,HTML
32024D0588,HR,HTML
32024D0588,IT,HTML
32024D0588,LV,HTML
32024D0588,LT,HTML
32024D0588,HU,HTML
32024D0588,MT,HTML
32024D0588,NL,HTML
32024D0588,PL,HTML
32024D0588,PT,HTML
32024D0588,RO,HTML
32024D0588,SK,HTML
32024D0588,SL,HTML
32024D0588,FI,HTML
32024D0588,SV,HTML
32024D0442,BG,HTML
32024D0442,ES,HTML
32024D0442,CS,HTML
32024D0442,DA,HTML
32024D0442,DE,HTML
32024D0442,ET,HTML
32024D0442,EL,HTML
32024D0442,EN,HTML
32024D0442,FR,HTML
32024D0442,GA,HTML
32024D0442,HR,HTML
32024D0442,IT,HTML
32024D0442,LV,HTML
32024D0442,LT,HTML
32024D0442,HU,HTML
32024D0442,MT,HTML
32024D0442,NL,HTML
32024D0442,PL,HTML
32024D0442,PT,HTML
32024D0442,RO,HTML
32024D0442,SK,HTML
32024D0442,SL,HTML
32024D0442,FI,HTML
32024D0442,SV,HTML
32024D0441,BG,HTML
32024D0441,ES,HTML
32024D0441,CS,HTML
32024D0441,DA,HTML
32024D0441,DE,HTML
32024D0441,ET,HTML
32024D0441,EL,HTML
32024D0441,EN,HTML
32024D0441,FR,HTML
32024D0441,GA,HTML
32024D0441,HR,HTML
32024D0441,IT,HTML
32024D0441,LV,HTML
32024D0441,LT,HTML
32024D0441,HU,HTML
32024D0441,MT,HTML
32024D0441,NL,HTML
32024D0441,PL,HTML
32024D0441,PT,HTML
32024D0441,RO,HTML
32024D0441,SK,HTML
32024D0441,SL,HTML
32024D0441,FI,HTML
32024D0441,SV,HTML
